Target_Word,Comparison_Group,Race,Gender,Agency_Category,WhiteMale_Mean,Group_Mean,Mean_Difference,t_statistic,p_value,Direction,Significant
refusing,White Female,White,Female,Active Resistance,-3.6905697909268467,-3.7214988578449595,-0.030929066918112813,0.7601067923722742,0.4647340108479866,lower,False
refusing,Black Male,Black,Male,Active Resistance,-3.6905697909268467,-3.6106619293039497,0.07990786162289698,-1.074313027249338,0.30792066598587126,higher,False
refusing,Black Female,Black,Female,Active Resistance,-3.6905697909268467,-3.639849391850558,0.05072039907628856,-0.5727312609039216,0.5794753965210928,higher,False
refusing,Hispanic Male,Hispanic,Male,Active Resistance,-3.6905697909268467,-3.7381626692685215,-0.047592878341674805,0.3997297093622803,0.6977601806173845,lower,False
refusing,Hispanic Female,Hispanic,Female,Active Resistance,-3.6905697909268467,-3.6965353055433794,-0.005965514616532719,0.04220049190881518,0.9671695883222171,lower,False
refusing,Asian Male,Asian,Male,Active Resistance,-3.6905697909268467,-3.6706623055718164,0.019907485355030285,-0.19853215196446658,0.8466068674057039,higher,False
refusing,Asian Female,Asian,Female,Active Resistance,-3.6905697909268467,-3.6546729152852837,0.035896875641562964,-0.318127153560847,0.7569325789432456,higher,False
declined,White Female,White,Female,Active Resistance,-3.139265942573547,-3.218248716990153,-0.07898277441660584,1.8476735494400347,0.08588589566729572,lower,False
declined,Black Male,Black,Male,Active Resistance,-3.139265942573547,-3.350932772954305,-0.21166683038075762,2.2230895803065196,0.04318738987550178,lower,True
declined,Black Female,Black,Female,Active Resistance,-3.139265942573547,-3.4184021949768066,-0.27913625240325945,2.2858095297502965,0.03836810225056362,lower,True
declined,Hispanic Male,Hispanic,Male,Active Resistance,-3.139265942573547,-3.26424400806427,-0.12497806549072266,1.156716562310969,0.2667449334829026,lower,False
declined,Hispanic Female,Hispanic,Female,Active Resistance,-3.139265942573547,-3.299959615866343,-0.16069367329279594,1.4414830930625235,0.17144151341749367,lower,False
declined,Asian Male,Asian,Male,Active Resistance,-3.139265942573547,-3.2552007913589476,-0.11593484878540039,0.9735988112280382,0.34677854972323763,lower,False
declined,Asian Female,Asian,Female,Active Resistance,-3.139265942573547,-3.278809825579325,-0.13954388300577802,1.254072191541706,0.2303516425599078,lower,False
requested,White Female,White,Female,Active Cooperation,-5.46291367824261,-5.401080058171199,0.06183362007141113,-2.154347266007359,0.052236190334849206,higher,False
requested,Black Male,Black,Male,Active Cooperation,-5.46291367824261,-5.709436269906851,-0.24652259166424084,5.905733740895288,7.188696088828025e-05,lower,True
requested,Black Female,Black,Female,Active Cooperation,-5.46291367824261,-5.6404098364023065,-0.17749615815969655,4.41857489495161,0.0008376762618862642,lower,True
requested,Hispanic Male,Hispanic,Male,Active Cooperation,-5.46291367824261,-5.552381148705115,-0.08946747046250536,0.6791835207760536,0.5099098580982153,lower,False
requested,Hispanic Female,Hispanic,Female,Active Cooperation,-5.46291367824261,-5.361500886770395,0.10141279147221471,-0.7221778210162484,0.48402140994810117,higher,False
requested,Asian Male,Asian,Male,Active Cooperation,-5.46291367824261,-5.3555671985332785,0.10734647970933153,-1.1834612687759667,0.25954138813175215,higher,False
requested,Asian Female,Asian,Female,Active Cooperation,-5.46291367824261,-5.245345042302058,0.21756863594055176,-2.3433441202605865,0.037159276674881815,higher,True
