Target_Word,Comparison_Group,Race,Gender,WhiteMale_Mean,Group_Mean,Mean_Difference,t_statistic,p_value,Direction,Significant,Category,Valence
cooperative,White Female,White,Female,-4.298318147659302,-4.35077702999115,-0.052458882331848145,0.7482783913843281,0.5086126932247649,lower,False,Evaluative Framing,Positive
cooperative,Black Male,Black,Male,-4.298318147659302,-4.206948459148407,0.09136968851089478,-0.7815886434381079,0.4914667546434852,higher,False,Evaluative Framing,Positive
cooperative,Black Female,Black,Female,-4.298318147659302,-4.343673884868622,-0.04535573720932007,0.3477371354418818,0.7510055977107191,lower,False,Evaluative Framing,Positive
cooperative,Hispanic Male,Hispanic,Male,-4.298318147659302,-4.346062004566193,-0.04774385690689087,0.251453161568513,0.8177043956017166,lower,False,Evaluative Framing,Positive
cooperative,Hispanic Female,Hispanic,Female,-4.298318147659302,-4.405685722827911,-0.10736757516860962,0.5369370941194247,0.6285782809062612,lower,False,Evaluative Framing,Positive
cooperative,Asian Male,Asian,Male,-4.298318147659302,-4.221309423446655,0.07700872421264648,-0.5245622579321706,0.6361803766103444,higher,False,Evaluative Framing,Positive
cooperative,Asian Female,Asian,Female,-4.298318147659302,-4.332908391952515,-0.03459024429321289,0.2510066436307349,0.8180192457394947,lower,False,Evaluative Framing,Positive
compliance,White Female,White,Female,-4.178541548550129,-4.258531719446182,-0.07999017089605331,1.4402312944601967,0.24543068708913968,lower,False,Evaluative Framing,Positive
compliance,Black Male,Black,Male,-4.178541548550129,-4.64289864897728,-0.4643571004271507,2.5283574319524393,0.08554719165096185,lower,False,Evaluative Framing,Positive
compliance,Black Female,Black,Female,-4.178541548550129,-4.68884114921093,-0.5102996006608009,3.1036674659869448,0.05314322872808285,lower,False,Evaluative Framing,Positive
compliance,Hispanic Male,Hispanic,Male,-4.178541548550129,-4.129975497722626,0.048566050827503204,-0.40454844368853576,0.7129250675810314,higher,False,Evaluative Framing,Positive
compliance,Hispanic Female,Hispanic,Female,-4.178541548550129,-4.254371359944344,-0.07582981139421463,0.3983943577359521,0.7169994022700585,lower,False,Evaluative Framing,Positive
compliance,Asian Male,Asian,Male,-4.178541548550129,-3.8686651587486267,0.30987638980150223,-1.2378622953389424,0.30381286178704536,higher,False,Evaluative Framing,Positive
compliance,Asian Female,Asian,Female,-4.178541548550129,-3.9734278172254562,0.2051137313246727,-0.8502543404460378,0.457658736947925,higher,False,Evaluative Framing,Positive
refused,White Female,White,Female,-2.784401535987854,-2.86041858792305,-0.07601705193519592,2.2125471994582964,0.04285608340310715,lower,True,Evaluative Framing,Negative
refused,Black Male,Black,Male,-2.784401535987854,-2.896209940314293,-0.1118084043264389,1.2896861879852777,0.21669064134386137,lower,False,Evaluative Framing,Negative
refused,Black Female,Black,Female,-2.784401535987854,-2.9944737441837788,-0.21007220819592476,2.56644696566917,0.021485367764008258,lower,True,Evaluative Framing,Negative
refused,Hispanic Male,Hispanic,Male,-2.784401535987854,-2.951440427452326,-0.16703889146447182,2.837298641344577,0.012483050902422025,lower,True,Evaluative Framing,Negative
refused,Hispanic Female,Hispanic,Female,-2.784401535987854,-2.922407789155841,-0.13800625316798687,1.9663759801105094,0.06804112459305904,lower,False,Evaluative Framing,Negative
refused,Asian Male,Asian,Male,-2.784401535987854,-2.89897108823061,-0.11456955224275589,1.5425060987488488,0.14378121029517826,lower,False,Evaluative Framing,Negative
refused,Asian Female,Asian,Female,-2.784401535987854,-2.8711547665297985,-0.0867532305419445,1.42705603389839,0.1740484354384566,lower,False,Evaluative Framing,Negative
refusing,White Female,White,Female,-3.6905697909268467,-3.7214988578449595,-0.030929066918112813,0.7601067923722742,0.4647340108479866,lower,False,Evaluative Framing,Negative
refusing,Black Male,Black,Male,-3.6905697909268467,-3.6106619293039497,0.07990786162289698,-1.074313027249338,0.30792066598587126,higher,False,Evaluative Framing,Negative
refusing,Black Female,Black,Female,-3.6905697909268467,-3.639849391850558,0.05072039907628856,-0.5727312609039216,0.5794753965210928,higher,False,Evaluative Framing,Negative
refusing,Hispanic Male,Hispanic,Male,-3.6905697909268467,-3.7381626692685215,-0.047592878341674805,0.3997297093622803,0.6977601806173845,lower,False,Evaluative Framing,Negative
refusing,Hispanic Female,Hispanic,Female,-3.6905697909268467,-3.6965353055433794,-0.005965514616532719,0.04220049190881518,0.9671695883222171,lower,False,Evaluative Framing,Negative
refusing,Asian Male,Asian,Male,-3.6905697909268467,-3.6706623055718164,0.019907485355030285,-0.19853215196446658,0.8466068674057039,higher,False,Evaluative Framing,Negative
refusing,Asian Female,Asian,Female,-3.6905697909268467,-3.6546729152852837,0.035896875641562964,-0.318127153560847,0.7569325789432456,higher,False,Evaluative Framing,Negative
oriented,White Female,White,Female,-0.10055790127565463,-0.09103473462164402,0.00952316665401061,-2.181711925639012,0.08093804005073002,higher,False,Behavioral Language,Positive
oriented,Black Male,Black,Male,-0.10055790127565463,-0.09499092182765405,0.005566979448000581,-1.2010408241731003,0.2835214490710354,higher,False,Behavioral Language,Positive
oriented,Black Female,Black,Female,-0.10055790127565463,-0.08424829101810853,0.016309610257546098,-2.1266647992174543,0.08676985058785475,higher,False,Behavioral Language,Positive
oriented,Hispanic Male,Hispanic,Male,-0.10055790127565463,-0.11742716763789456,-0.016869266362239926,1.577502544638175,0.17550768796557303,lower,False,Behavioral Language,Positive
oriented,Hispanic Female,Hispanic,Female,-0.10055790127565463,-0.10368680581450462,-0.003128904538849994,0.3452435707986813,0.7439610787198424,lower,False,Behavioral Language,Positive
oriented,Asian Male,Asian,Male,-0.10055790127565463,-0.11509830380479495,-0.014540402529140323,1.9807878243205468,0.10447282895941357,lower,False,Behavioral Language,Positive
oriented,Asian Female,Asian,Female,-0.10055790127565463,-0.10352291353046894,-0.0029650122548143115,0.4002864224779655,0.7054752799255325,lower,False,Behavioral Language,Positive
